parentTag,tagName,setpointA,shelvingAllowed,ackMode,name,message Number,priority,displayPath,label,bindType,value,Debug Prompt
GvVanityCase,bGeneralAxisError,1,FALSE,Unused,FAB_2100,00,Medium,FAB2900,,Expression,"concat({[.]../../stHmi/sStsFigureName}, "" "", {[.]../../stHmi/stLid/sStsName},"" "",""General Motor Fault"")",Verify the drive is powered.  Check all cables to drive.  Check breakers to drive.  Check all cables to motor.
GvSys,bStsAlwaysTrue,0,FALSE,Unused,FAB_001,01,High,FAB2900,PLC Offline,,,"The PLC has not initialized properly.  Cycle the power on the SSC.  If it persists, delete the file C:\TwinCAT\3.1\Boot\Plc\Port_851.bootdata-old and cycle the power on the PLC."
GvVanityCase,bECAM_TableError,1,FALSE,Unused,FAB_2101,01,Medium,FAB2900,,Expression,"concat({[.]../../stHmi/sStsFigureName},"" "",{[.]../../stHmi/stLid/sStsName},"" "",""ECAM Table Error"")",Cycle the power on the FAB.
GvVanityCase,bCommutationError,1,FALSE,Unused,FAB_2102,02,Medium,FAB2900,,Expression,"concat({[.]../../stHmi/sStsFigureName},"" "",{[.]../../stHmi/stLid/sStsName},"" "",""Commutation Error, Check drive tuning"")",Check encoder cables.  Place figure in inactive.  Try to physically move the axis and see if position changes in diagnostics screen on HMI.
GvSys,bConfig,1,FALSE,Unused,FAB_002,02,High,FAB2900,Required Configuration Files Not Found - Restore missing files or image PLC from Backup,,,The PLC has not loaded its configuration files properly.  Check the files in C:\settings and C:\data on the PLC to verify that they match the backup files.  Delete the file C:\TwinCAT\3.1\Boot\Plc\Port_851.bootdata-old.
GvSys,bTempHigh,1,FALSE,Unused,FAB_003,03,High,FAB2900,FAB Temperature Critical -- LStop Engaged,,,The maximum temperature limit has been exceeded and the SSC will not function until the temperature is reduced.  Verify the function of the A/C unit.  Verify the settings on the temperature control unit.
GvVanityCase,bHallsFeedback,1,FALSE,Unused,FAB_2103,03,Medium,FAB2900,,Expression,"concat({[.]../../stHmi/sStsFigureName},"" "",{[.]../../stHmi/stLid/sStsName},"" "",""Hall Sensor Feedback - Check encoder cable"")",Check encoder cables.  Place figure in inactive.  Try to physically move the axis and see if position changes in diagnostics screen on HMI.
GvSys,bTempLow,1,FALSE,Unused,FAB_004,04,High,FAB2900,Temperature Limit Exceeded -- Check A/C Unit Wiring,,,"The first high temperature limit has been passed.  The SSC will still function, but the alarm will remain until the temperature is reduced.  Verify the function of the A/C unit.  Verify the settings on the temperature control unit."
GvVanityCase,bCurrentLimit,1,FALSE,Unused,FAB_2104,04,Medium,FAB2900,,Expression,"concat({[.]../../stHmi/sStsFigureName},"" "",{[.]../../stHmi/stLid/sStsName},"" "",""Current Limit Exceeded - Check function for mechanical jam, obstruction or impingement"")",Place figure in inactive.  Try to physically move the axis and see if position changes in diagnostics screen on HMI.
GvSys,bLoadPowerLoss,1,FALSE,Unused,FAB_005,05,High,FAB2900,FAB 24V DC Load Power Supply Not OK,,,Check the power supply unit for fault lights.  Verify power input and power output cables.  Restart the FAB.
